gene	partner
9-27	IFITM1
90K	LGALS3BP
9630046K23Rik	POGLUT1
9F	FAM50A
9G8	SLU7
9G8	SRSF7
A-152E5.1	CCL22
A-2	GPR162
A-761H5.2	CDC37P1
A-923A4.1	ACSM2A
A-FABP	FABP4
A-LAP	ERAP1
A-SCID	DCLRE1C
A-myb	MYBL1
A1	RFC1
A1	RFC2
A1	RFC4
A1-5	ZNF2
A10	IGKV6D-21
A121	EIF1
A12M1~withdrawn	A12M1~withdrawn
A12M2~withdrawn	A12M2~withdrawn
A12M3~withdrawn	A12M3~withdrawn
A12M4~withdrawn	A12M4~withdrawn
A14GALT	A4GALT
A15	TSPAN7
A170	SQSTM1
A1A	SERPINA1
A1AT	SERPINA1
A1B	SNTB1
A1BG	A1BG
A1BG-AS1	A1BG-AS1
A1BG-AS1	FLJ23569
A1CF	A1CF
A1CF	ACF
A1CF	ACF64
A1CF	ACF65
A1CF	APOBEC1CF
A1CF	ASP
A1S9T~withdrawn	A1S9T~withdrawn
A1U	UBQLN4
A2	C21orf2
A2	GPHA2
A2	SGCA
A20	IGKV1-27
A20	TNFAIP3
A211C6.1	LYRM1
A214N16.3	PRUNE2
A26	IGKV6-21
A26C1	POTEE
A28-RGS14	RGS16
A2AP	SERPINF2
A2BP1	RBFOX1
A2D	ATXN2L
A2HS	AHSG
A2M	A2M
A2M	CPAMD5
A2M	FWP007
A2M	S863-7
A2M-AS1	A2M-AS1
A2ML1	A2ML1
A2ML1	FLJ25179
A2ML1-AS1	A2ML1-AS1
A2ML1-AS2	A2ML1-AS2
A2MP1	A2MP1
A2MRAP~withdrawn	A2MRAP~withdrawn
A2MR~withdrawn	A2MR~withdrawn
A2lp	ATXN2L
A30	IGKV1-17
A33	GPA33
A3GALNT	ABO
A3GALNT	GBGT1
A3GALT1	ABO
A3GALT2	A3GALT2
A3GALT2	IGBS3S
A3a	DAG1
A3b	SGCB
A4	PLP2
A4	SGCG
A4-LSB	PLP2
A4GALT	A14GALT
A4GALT	A4GALT
A4GALT	Gb3S
A4GALT	P(k)
A4GNT	A4GNT
A4GNT	alpha4GnT
A6	TWF1
A6L	MT-ATP8
A6RP	TWF2
A6ps1	TWF1P1
A6ps2	TWF1P2
A6r	TWF2
A8-51	ZNF3
AAA1	NPSR1-AS1
AAAS	AAAS
AAAT	SLC1A5
AABT~withdrawn	AABT~withdrawn
AAC-11	API5
AAC11	API5
AAC1~withdrawn	AAC1~withdrawn
AAC2~withdrawn	AAC2~withdrawn
AACS	AACS
AACS	ACSF1
AACS	FLJ12389
AACS	SUR-5
AACSP1	AACSP1
AACT~withdrawn	AACT~withdrawn
AADAC	AADAC
AADAC	CES5A1
AADAC	DAC
AADACL2	AADACL2
AADACL2	MGC72001
AADACL3	AADACL3
AADACL3	OTTHUMG00000001887
AADACL4	AADACL4
AADACL4	OTTHUMG00000001889
AADAT	AADAT
AADAT	KAT2
AADAT	KATII
AADC	DDC
AAED1	AAED1
AAF132	CTC1
AAG3	SRSF7
AAGAB	AAGAB
AAGAB	FLJ11506
AAGAB	p34
AAIR8193	APOOL
AAK1	AAK1
AAK1	DKFZp686K16132
AAK1	KIAA1048
AAKG	PRKAG2
AAKG2	PRKAG2
AAMDC	AAMDC
AAMDC	CK067
AAMDC	FLJ21035
AAMDC	PTD015
AAMP	AAMP
AANAT	AANAT
AANAT	SNAT
AAOPD	PARK10
AAP	SERPINF2
AAP1	RYBP
AAR2	AAR2
AAR2	bA234K24.2
AARD	AARD
AARD	LOC441376
AARS	AARS
AARS2	AARS2
AARS2	KIAA1270
AARS2	bA444E17.1
AARSD1	AARSD1
AARSD1	MGC2744
AASD-PPT	AASDHPPT
AASDH	AASDH
AASDH	ACSF4
AASDH	LYS2
AASDH	NRPS998
AASDHPPT	AASD-PPT
AASDHPPT	AASDHPPT
AASDHPPT	CGI-80
AASDHPPT	LYS5
AASS	AASS
AASS	LKRSDH
AASS	LORSDH
AAT	SERPINA1
AAT1	MAATS1
AAT1alpha	MAATS1
AATF	AATF
AATF	BFR2
AATF	CHE-1
AATF	CHE1
AATF	DED
AATK	AATK
AATK	AATYK
AATK	AATYK1
AATK	KIAA0641
AATK	LMR1
AATK	LMTK1
AATK-AS1	AATK-AS1
AATYK	AATK
AATYK1	AATK
AATYK2	LMTK2
AAV	AAVS1
AAVS1	AAV
AAVS1	AAVS1
AA~withdrawn	AA~withdrawn
