gene	partner
C19orf69	LOC100170765
C19orf70	C19orf70
C19orf70	P117
C19orf70	QIL1
C19orf71	C19orf71
C19orf71	LOC100128569
C19orf73	C19orf73
C19orf73	FLJ10490
C19orf77	C19orf77
C19orf77	HSPC323
C19orf80	ANGPTL8
C19orf80	C19orf80
C19orf80	RIFL
C19orf80	TD26
C19orf81	C19orf81
C19orf82	C19orf82
C19orf83	C19orf83
C19orf84	C19orf84
C19orf8~withdrawn	C19orf8~withdrawn
C19orf9~withdrawn	C19orf9~withdrawn
C1D	C1D
C1D	LRP1
C1D	SUN-CoR
C1D	SUNCOR
C1DP1	C1DP1
C1DP1	bA195O1.1
C1DP2	C1DP2
C1DP2	bA369J21.3
C1DP3	C1DP3
C1DP3	bA369J21.2
C1DP4	C1DP4
C1GALT	C1GALT1
C1GALT1	C1GALT
C1GALT1	C1GALT1
C1GALT1	T-synthase
C1GALT1C1	C1GALT1C1
C1GALT1C1	C1GALT2
C1GALT1C1	COSMC
C1GALT2	C1GALT1C1
C1HR	C1HR
C1IN	SERPING1
C1NH~withdrawn	C1NH~withdrawn
C1QA	C1QA
C1QB	C1QB
C1QBP	C1QBP
C1QBP	SF2p32
C1QBP	gC1Q-R
C1QBP	gC1qR
C1QBP	p32
C1QBPP	C1QBPP
C1QC	C1QC
C1QL1	C1QL1
C1QL1	C1QRF
C1QL1	C1QTNF14
C1QL1	CRF
C1QL2	C1QL2
C1QL2	C1QTNF10
C1QL2	CTRP10
C1QL3	C1QL3
C1QL3	C1QTNF13
C1QL3	C1ql
C1QL3	CTRP13
C1QL3	K100
C1QL4	C1QL4
C1QL4	C1QTNF11
C1QL4	CTRP11
C1QRF	C1QL1
C1QTNF1	C1QTNF1
C1QTNF1	CTRP1
C1QTNF1	FLJ90694
C1QTNF1	GIP
C1QTNF1	ZSIG37
C1QTNF1-AS1	C1QTNF1-AS1
C1QTNF10	C1QL2
C1QTNF11	C1QL4
C1QTNF12	FAM132A
C1QTNF13	C1QL3
C1QTNF14	C1QL1
C1QTNF15	FAM132B
C1QTNF15	OTOL1
C1QTNF2	C1QTNF2
C1QTNF2	CTRP2
C1QTNF3	2310005P21Rik
C1QTNF3	C1QTNF3
C1QTNF3	CTRP3
C1QTNF3	Corcs
C1QTNF3	Cors
C1QTNF3	Cors-26
C1QTNF3-AMACR	C1QTNF3-AMACR
C1QTNF4	C1QTNF4
C1QTNF4	CTRP4
C1QTNF4	ZACRP4
C1QTNF5	C1QTNF5
C1QTNF5	CTRP5
C1QTNF5	DKFZp586B0621
C1QTNF5	LORD
C1QTNF5	MFRP
C1QTNF6	C1QTNF6
C1QTNF6	CTRP6
C1QTNF6	ZACRP6
C1QTNF7	C1QTNF7
C1QTNF7	CTRP7
C1QTNF8	C1QTNF8
C1QTNF8	CTRP8
C1QTNF8	UNQ5829
C1QTNF9	AQL1
C1QTNF9	C1QTNF9
C1QTNF9	C1QTNF9A
C1QTNF9	CTRP9
C1QTNF9	MGC48915
C1QTNF9-AS1	C1QTNF9-AS1
C1QTNF9A	C1QTNF9
C1QTNF9B	C1QTNF9B
C1QTNF9B	CTRP9B
C1QTNF9B-AS1	C1QTNF9B-AS1
C1QTNF9B-AS1	PCOTH
C1R	C1R
C1RL	C1RL
C1RL	C1RL1
C1RL	C1r-LP
C1RL-AS1	C1RL-AS1
C1RL-AS1	MATL2963
C1RL1	C1RL
C1S	C1S
C1orf100	C1orf100
C1orf101	C1orf101
C1orf101	MGC33370
C1orf105	C1orf105
C1orf106	C1orf106
C1orf106	FLJ10901
C1orf109	C1orf109
C1orf109	FLJ20508
C1orf110	C1orf110
C1orf110	MGC48998
C1orf111	C1orf111
C1orf112	C1orf112
C1orf112	FLJ10706
C1orf115	C1orf115
C1orf115	FLJ14146
C1orf116	C1orf116
C1orf116	FLJ36507
C1orf116	MGC2742
C1orf116	MGC4309
C1orf116	SARG
C1orf11~withdrawn	C1orf11~withdrawn
C1orf122	C1orf122
C1orf122	FLJ45459
C1orf123	C1orf123
C1orf123	FLJ20580
C1orf127	C1orf127
C1orf127	FLJ37118
C1orf131	C1orf131
C1orf131	DKFZp547B1713
C1orf132	C1orf132
C1orf132	FLJ35650
C1orf134	C1orf134
C1orf136~withdrawn	C1orf136~withdrawn
C1orf137	C1orf137
C1orf140~withdrawn	C1orf140~withdrawn
C1orf141	C1orf141
C1orf143	C1orf143
C1orf145	C1orf145
C1orf145	FLJ31994
C1orf146	C1orf146
C1orf147	C1orf147
C1orf147	FLJ32597
C1orf158	C1orf158
C1orf158	MGC35194
C1orf159	C1orf159
C1orf159	FLJ20584
C1orf162	C1orf162
C1orf162	MGC24133
C1orf167	C1orf167
C1orf167	DKFZp434E1410
C1orf167	RP11-56N19.2
C1orf168	C1orf168
C1orf168	FLJ43208
C1orf168	RP4-758N20.2
C1orf172	C1orf172
C1orf172	FLJ34633
C1orf172	RP11-344H11.3
C1orf173	C1orf173
C1orf173	DKFZp547I048
C1orf173	RP11-653A5.1
C1orf174	C1orf174
C1orf174	RP13-531C17.2
C1orf177	C1orf177
C1orf177	FLJ40201
C1orf178~withdrawn	C1orf178~withdrawn
C1orf180	C1orf180
C1orf180	FLJ35487
C1orf185	C1orf185
C1orf185	FLJ27485
C1orf186	C1orf186
C1orf186	FLJ16052
C1orf188~withdrawn	C1orf188~withdrawn
C1orf189	C1orf189
C1orf192	C1orf192
C1orf193~withdrawn	C1orf193~withdrawn
C1orf194	C1orf194
C1orf195	C1orf195
C1orf196	C1orf196
C1orf197~withdrawn	C1orf197~withdrawn
C1orf198	C1orf198
C1orf198	DKFZp667D152
C1orf198	FLJ14525
C1orf198	FLJ16283
C1orf198	FLJ38847
C1orf198	MGC10710
C1orf200	C1orf200
C1orf204	C1orf204
C1orf204	FLJ39187
C1orf20~withdrawn	C1orf20~withdrawn
C1orf21	C1orf21
C1orf21	PIG13
C1orf210	C1orf210
C1orf210	MGC52423
C1orf213	C1orf213
C1orf213	FLJ90508
C1orf215~withdrawn	C1orf215~withdrawn
C1orf216	C1orf216
C1orf216	FLJ38984
C1orf218~withdrawn	C1orf218~withdrawn
C1orf220	C1orf220
C1orf220	FLJ35530
C1orf222	C1orf222
C1orf226	C1orf226
C1orf226	FLJ13137
C1orf227	C1orf227
C1orf227	LOC149643
C1orf228	C1orf228
C1orf228	MGC33556
C1orf228	p40
C1orf229	C1orf229
C1orf229	FLJ45717
C1orf233	C1orf233
C1orf234	C1orf234
C1orf27	C1orf27
C1orf27	FLJ20505
C1orf27	TTG1
C1orf27	odr-4
C1orf28~withdrawn	C1orf28~withdrawn
C1orf30~withdrawn	C1orf30~withdrawn
C1orf35	C1orf35
C1orf35	MGC4174
C1orf35	MMTAG2
C1orf37-DUP	TMEM183B
C1orf3~withdrawn	C1orf3~withdrawn
C1orf43	C1orf43
C1orf43	DKFZp586G1722
C1orf43	NICE-3
C1orf47	ABHD17AP1
C1orf4~withdrawn	C1orf4~withdrawn
C1orf50	C1orf50
C1orf50	MGC955
C1orf52	C1orf52
C1orf52	FLJ44982
C1orf52	gm117
C1orf53	C1orf53
C1orf54	C1orf54
C1orf54	FLJ23221
C1orf56	C1orf56
C1orf56	FLJ20519
C1orf56	MENT
C1orf5~withdrawn	C1orf5~withdrawn
C1orf61	C1orf61
C1orf61	CROC4
C1orf63	C1orf63
C1orf63	DJ465N24.2.1
C1orf64	C1orf64
C1orf64	ERRF
C1orf64	MGC24047
C1orf65	C1orf65
C1orf65	FLJ35728
C1orf67~withdrawn	C1orf67~withdrawn
C1orf68	C1orf68
C1orf68	LEP7
C1orf74	C1orf74
C1orf74	FLJ25078
C1orf7~withdrawn	C1orf7~withdrawn
C1orf84~withdrawn	C1orf84~withdrawn
C1orf85	C1orf85
C1orf85	MGC31963
C1orf85	NCU-G1
C1orf86	C1orf86
C1orf86	FAAP20
C1orf86	FLJ31031
C1orf87	C1orf87
C1orf87	MGC34837
C1orf94	C1orf94
C1orf94	MGC15882
C1orf95	C1orf95
C1orf95	DKFZp761P211
C1qR(P)	CD93
C1qRP	CD93
C1ql	C1QL3
C1r-LP	C1RL
C2	C2
C2-AS1	C2-AS1
C2-PI3K	PIK3C2B
C2/4GnT	GCNT3
C20orf109~withdrawn	C20orf109~withdrawn
C20orf112	C20orf112
C20orf112	DKFZP566G1424
C20orf112	dJ1184F4.2
C20orf112	dJ1184F4.4
C20orf113~withdrawn	C20orf113~withdrawn
C20orf124~withdrawn	C20orf124~withdrawn
C20orf131~withdrawn	C20orf131~withdrawn
C20orf141	C20orf141
C20orf141	dJ860F19.4
C20orf144	C20orf144
C20orf144	bclt
C20orf144	dJ63M2.6
C20orf145~withdrawn	C20orf145~withdrawn
C20orf148~withdrawn	C20orf148~withdrawn
C20orf153~withdrawn	C20orf153~withdrawn
C20orf156~withdrawn	C20orf156~withdrawn
C20orf157~withdrawn	C20orf157~withdrawn
C20orf158~withdrawn	C20orf158~withdrawn
C20orf159~withdrawn	C20orf159~withdrawn
C20orf166	C20orf166
C20orf166	MIR1-1HG
C20orf166	MIR133A2HG
C20orf166	dJ353C17.1
C20orf166-AS1	C20orf166-AS1
C20orf166-AS1	FLJ30313
C20orf173	C20orf173
C20orf173	dJ477O4.4
C20orf176~withdrawn	C20orf176~withdrawn
C20orf17~withdrawn	C20orf17~withdrawn
C20orf181	C20orf181
C20orf181	dJ824A14.1
C20orf187	C20orf187
C20orf187	dJ727I10.1
C20orf192~withdrawn	C20orf192~withdrawn
C20orf193~withdrawn	C20orf193~withdrawn
C20orf194	C20orf194
C20orf194	DKFZp434N061
C20orf195	C20orf195
C20orf195	MGC5356
C20orf196	C20orf196
C20orf196	FLJ25067
C20orf197	C20orf197
C20orf197	FLJ33860
C20orf202	C20orf202
C20orf203	C20orf203
C20orf203	FLJ33706
C20orf24	C20orf24
C20orf24	PNAS-11
C20orf24	RIP5
C20orf25~withdrawn	C20orf25~withdrawn
C20orf26	C20orf26
C20orf26	DKFZP434K156
C20orf26	dJ1002M8.3
C20orf27	C20orf27
C20orf27	FLJ20550
C20orf2~withdrawn	C20orf2~withdrawn
C20orf37~withdrawn	C20orf37~withdrawn
C20orf38~withdrawn	C20orf38~withdrawn
C20orf49~withdrawn	C20orf49~withdrawn
C20orf57	C20orf57
C20orf57	FLJ20645
C20orf57	bA243J16.5
C20orf5~withdrawn	C20orf5~withdrawn
C20orf62	C20orf62
C20orf62	dJ1013A22.3
C20orf66~withdrawn	C20orf66~withdrawn
C20orf78	C20orf78
C20orf78	dJ1068E13.1
C20orf84~withdrawn	C20orf84~withdrawn
C20orf85	C20orf85
C20orf85	LLC1
C20orf85	bA196N14.1
C20orf89~withdrawn	C20orf89~withdrawn
C20orf91A	FAM182A
C20orf96	C20orf96
C20orf96	dJ1103G7.2
C21	TBL1XR1
C21orf101~withdrawn	C21orf101~withdrawn
C21orf102~withdrawn	C21orf102~withdrawn
C21orf103	KRTAP6-1
C21orf107~withdrawn	C21orf107~withdrawn
C21orf10~withdrawn	C21orf10~withdrawn
C21orf112~withdrawn	C21orf112~withdrawn
C21orf114~withdrawn	C21orf114~withdrawn
C21orf115~withdrawn	C21orf115~withdrawn
C21orf116~withdrawn	C21orf116~withdrawn
C21orf118~withdrawn	C21orf118~withdrawn
C21orf119	C21orf119
C21orf119	MGC14136
C21orf119	PRED84
C21orf120~withdrawn	C21orf120~withdrawn
C21orf124~withdrawn	C21orf124~withdrawn
C21orf128	C21orf128
C21orf128	FLJ33471
C21orf12~withdrawn	C21orf12~withdrawn
C21orf140	C21orf140
C21orf14~withdrawn	C21orf14~withdrawn
C21orf15~withdrawn	C21orf15~withdrawn
C21orf19~withdrawn	C21orf19~withdrawn
C21orf1~withdrawn	C21orf1~withdrawn
C21orf2	A2
C21orf2	C21orf2
C21orf2	YF5
C21orf258	C2CD2
C21orf27~withdrawn	C21orf27~withdrawn
C21orf32~withdrawn	C21orf32~withdrawn
C21orf33	C21orf33
C21orf33	D21S2048E
C21orf33	ES1
C21orf33	GT335
C21orf33	HES1
C21orf33	KNP-I
C21orf33	KNP-Ia
C21orf33	KNPH
C21orf33	KNPI
C21orf35~withdrawn	C21orf35~withdrawn
C21orf37	C21orf37
C21orf38~withdrawn	C21orf38~withdrawn
C21orf3~withdrawn	C21orf3~withdrawn
C21orf40~withdrawn	C21orf40~withdrawn
C21orf43~withdrawn	C21orf43~withdrawn
C21orf46~withdrawn	C21orf46~withdrawn
C21orf48~withdrawn	C21orf48~withdrawn
C21orf49	C21orf49
C21orf50~withdrawn	C21orf50~withdrawn
C21orf53~withdrawn	C21orf53~withdrawn
C21orf54	C21orf54
C21orf58	C21orf58
C21orf59	C21orf59
C21orf59	CILD26
C21orf59	FBB18
C21orf59	FLJ20467
C21orf60~withdrawn	C21orf60~withdrawn
C21orf62	B37
C21orf62	C21orf62
C21orf62	PRED81
C21orf64~withdrawn	C21orf64~withdrawn
C21orf65~withdrawn	C21orf65~withdrawn
C21orf67	C21orf67
C21orf68~withdrawn	C21orf68~withdrawn
C21orf69~withdrawn	C21orf69~withdrawn
C21orf72~withdrawn	C21orf72~withdrawn
C21orf73	ABCC13
C21orf76	FAM3B
C21orf78	DNAJC28
C21orf79~withdrawn	C21orf79~withdrawn
C21orf81~withdrawn	C21orf81~withdrawn
C21orf83~withdrawn	C21orf83~withdrawn
C21orf85~withdrawn	C21orf85~withdrawn
C21orf88	C21orf88
C21orf90	C21orf90
C21orf91	C21orf91
C21orf91	CSSG1
C21orf91	EURL
C21orf91	YG81
C21orf91-OT1	C21orf91-OT1
C21orf91-OT1	D21S2089E
C21orf92	MRPL39
C21orf95~withdrawn	C21orf95~withdrawn
C21orf97~withdrawn	C21orf97~withdrawn
C21orf98~withdrawn	C21orf98~withdrawn
C22orf12~withdrawn	C22orf12~withdrawn
C22orf15	C22orf15
C22orf15	FLJ36561
C22orf15	N27C7-3
C22orf19~withdrawn	C22orf19~withdrawn
C22orf23	C22orf23
C22orf23	EVG1
C22orf23	FLJ32787
C22orf23	LOC84645
C22orf24	C22orf24
C22orf24	HSN44A4A
C22orf26	C22orf26
C22orf26	FLJ10945
C22orf29	C22orf29
C22orf29	FLJ21125
C22orf31	C22orf31
C22orf31	HS747E2A
C22orf31	bK747E2.1
C22orf34	C22orf34
C22orf35~withdrawn	C22orf35~withdrawn
C22orf39	C22orf39
C22orf39	MGC74441
C22orf42	C22orf42
C22orf43	C22orf43
C22orf46	C22orf46
C22orf46	CTA-216E10.6
C22orf46	FLJ23584
C22orf6~withdrawn	C22orf6~withdrawn
C22orf7~withdrawn	C22orf7~withdrawn
C23	NCL
C2B	SCGB2B3P
C2CD1	TC2N
C2CD2	C21orf258
C2CD2	C2CD2
C2CD2	DKFZP586F0422
C2CD2	TMEM24L
C2CD2L	C2CD2L
C2CD2L	KIAA0285
C2CD3	C2CD3
C2CD3	DKFZP586P0123
C2CD4A	C2CD4A
C2CD4A	NLF1
C2CD4B	C2CD4B
C2CD4B	NLF2
C2CD4C	C2CD4C
C2CD4C	NLF3
C2CD4D	C2CD4D
C2CD4D	FAM148D
C2CD5	C2CD5
C2CD5	CDP138
C2F	EMG1
C2GNT	GCNT1
C2GNT3	GCNT4
C2GnT-M	GCNT3
C2GnT2	GCNT3
C2H2-150	ZNF212
C2H2-171	ZBTB18
C2PA	RGS3
C2TA	CIITA
C2TA	DONSON
C2orf12~withdrawn	C2orf12~withdrawn
C2orf15	C2orf15
C2orf15	MGC29762
C2orf16	C2orf16
C2orf16	DKFZp434G118
C2orf1~withdrawn	C2orf1~withdrawn
C2orf20~withdrawn	C2orf20~withdrawn
C2orf27A	C2orf27A
C2orf27AP1	C2orf27AP1
C2orf27B	C2orf27B
C2orf27B	MGC50273
C2orf31~withdrawn	C2orf31~withdrawn
C2orf40	C2orf40
C2orf40	ECRG4
C2orf40	augurin
C2orf42	C2orf42
C2orf42	FLJ20558
C2orf43	C2orf43
C2orf43	FLJ21820
C2orf44	C2orf44
C2orf44	FLJ21945
C2orf47	C2orf47
C2orf47	DKFZp666A212
C2orf47	FLJ22555
C2orf48	C2orf48
C2orf48	FLJ25102
C2orf49	C2orf49
C2orf49	MGC5509
C2orf49	asw
C2orf50	C2orf50
C2orf50	FLJ25143
C2orf53	C2orf53
C2orf53	MGC44505
C2orf54	C2orf54
C2orf54	FLJ22671
C2orf57	C2orf57
C2orf57	MGC35154
C2orf61	C2orf61
C2orf61	FLJ40172
C2orf66	C2orf66
C2orf66	UNQ6411
C2orf68	C2orf68
C2orf69	C2orf69
C2orf69	FLJ38973
C2orf70	C2orf70
C2orf70	LOC339778
C2orf71	C2orf71
C2orf71	FLJ34931
C2orf71	RP54
C2orf72	C2orf72
C2orf72	LOC257407
C2orf73	C2orf73
C2orf73	FLJ40298
C2orf74	C2orf74
C2orf74	LOC339804
C2orf76	AIM29
C2orf76	C2orf76
C2orf76	LOC130355
C2orf76	MGC104437
C2orf78	C2orf78
C2orf78	COG5373
C2orf78	FLJ43987
C2orf78	hCG1989538
C2orf80	C2orf80
C2orf80	GONDA1
C2orf80	LOC389073
C2orf81	C2orf81
C2orf81	LOC388963
C2orf81	hCG40743
C2orf82	ASCL830
C2orf82	C2orf82
C2orf82	UNQ830
C2orf83	C2orf83
C2orf83	DKFZp547H025
C2orf88	C2orf88
C2orf88	MGC13057
C2orf88	smAKAP
C2orf90	C2orf90
C2orf91	C2orf91
C3	ARMD9
C3	C3
C3	C3a
C3	C3b
C3	CPAMD1
C3-C5	ADAMTS1
C32	CKLF
C321D2.4	CHTF18
C35	MIEN1
C3AR	C3AR1
C3AR1	AZ3B
C3AR1	C3AR
C3AR1	C3AR1
C3CER1	C3CER1
C3CER1	CER1
C3F	LPCAT3
C3G	RAPGEF1
C3IP1	KLHL12
C3P1	C3P1
C3P1	CPLP
C3Xkine	CX3CL1
C3a	C3
C3b	C3
C3b-INA	CFI
C3orf11	TUSC2
C3orf12	UBQLN4P1
C3orf13	IL1RAP
C3orf14	C3orf14
C3orf14	HT021
C3orf17	C3orf17
C3orf17	DKFZP434F2021
C3orf17	NET17
C3orf18	C3orf18
C3orf18	G20
C3orf20	C3orf20
C3orf20	DKFZP434N1817
C3orf22	C3orf22
C3orf22	MGC34728
C3orf27	C3orf27
C3orf27	GR6
C3orf30	C3orf30
C3orf30	FLJ32859
C3orf33	AC3-33
C3orf33	C3orf33
C3orf33	FLJ31139
C3orf35	APRG1
C3orf35	C3orf35
C3orf36	C3orf36
C3orf36	FLJ22173
C3orf38	C3orf38
C3orf38	MGC26717
C3orf49	C3orf49
C3orf5	MRPS22
C3orf52	C3orf52
C3orf52	FLJ23186
C3orf52	TTMP
C3orf53~withdrawn	C3orf53~withdrawn
C3orf55	C3orf55
C3orf56	C3orf56
C3orf56	FLJ40141
C3orf58	C3orf58
C3orf58	DIA1
C3orf58	HASF
C3orf58	MGC33365
C3orf62	C3orf62
C3orf62	FLJ43654
C3orf65	C3orf65
C3orf65	FLJ32900
C3orf67	C3orf67
C3orf67	FLJ42117
C3orf67	FLJ42930
C3orf70	C3orf70
C3orf72	C3orf72
C3orf72	FLJ43329
C3orf73~withdrawn	C3orf73~withdrawn
C3orf79	C3orf79
C3orf7~withdrawn	C3orf7~withdrawn
C3orf80	C3orf80
C3orf83	C3orf83
C3orf84	C3orf84
C4	C4A
C4.4A	LYPD3
C40	CNOT11
C41-CAD	CDH12P2
C42	CDK5RAP1
C48	CDK5RAP2
C49A	IL24
C4A	C4
C4A	C4A
C4A	C4A2
C4A	C4A3
C4A	C4A4
C4A	C4A6
C4A	C4B
C4A	C4S
C4A	CO4
C4A	CPAMD2
C4A	RG
C4A-AS1	C4A-AS1
C4A2	C4A
C4A3	C4A
C4A4	C4A
C4A6	C4A
C4B	C4A
C4B	C4B
C4B	C4B1
C4B	C4B3
C4B	C4F
C4B	CH
C4B	CO4
C4B	CPAMD3
C4B-AS1	C4B-AS1
C4B1	C4B
C4B3	C4B
C4BPA	C4BPA
C4BPAP1	C4BPAP1
C4BPAP2	C4BPAP2
C4BPB	C4BPB
C4B_2	C4B_2
C4F	C4B
C4S	C4A
C4S-2	CHST12
C4ST	CHST11
C4ST1	CHST11
C4ST2	CHST12
C4ST3	CHST13
C4St-1	CHST11
C4orf17	C4orf17
C4orf17	DKFZP434G072
C4orf19	C4orf19
C4orf19	FLJ11017
C4orf21	C4orf21
C4orf21	FLJ11331
C4orf22	C4orf22
C4orf26	C4orf26
C4orf26	FLJ23657
C4orf27	C4orf27
C4orf27	FLJ20534
C4orf29	C4orf29
C4orf29	FLJ21106
C4orf3	C4orf3
C4orf32	C4orf32
C4orf32	FLJ39370
C4orf33	C4orf33
C4orf33	FLJ33703
C4orf36	C4orf36
C4orf36	MGC26744
C4orf4	CYTL1
C4orf40	C4orf40
C4orf45	C4orf45
C4orf45	FLJ25371
C4orf46	C4orf46
C4orf46	LOC201725
C4orf47	C4orf47
C4orf47	LOC441054
C4orf48	C4orf48
C4orf50	C4orf50
C4orf50	FLJ46481
C4orf51	C4orf51
C4orf53	FAM200B
C4orf6	C4orf6
C4orf6	aC1
C5	C5
C5	C5a
C5	C5b
C5	CPAMD4
C53	CDK5RAP3
C5A	C5AR1
C5AR	C5AR1
C5AR1	C5A
C5AR1	C5AR
C5AR1	C5AR1
C5AR1	CD88
C5AR2	C5AR2
C5AR2	C5L2
C5L2	C5AR2
C5a	C5
C5b	C5
C5orf10~withdrawn	C5orf10~withdrawn
C5orf15	C5orf15
C5orf15	HTGN29
C5orf15	KCT2
C5orf17	C5orf17
C5orf17	FLJ34836
C5orf20	C5orf20
C5orf20	DCNP1
C5orf22	C5orf22
C5orf22	FLJ11193
C5orf23~withdrawn	C5orf23~withdrawn
C5orf24	C5orf24
C5orf24	FLJ37562
C5orf27	C5orf27
C5orf27	FIS
C5orf27	FLJ38821
C5orf28	C5orf28
C5orf28	FLJ21657
C5orf30	C5orf30
C5orf30	FLJ25291
C5orf34	C5orf34
C5orf34	FLJ32363
C5orf38	C5orf38
C5orf38	CEI
C5orf38	IRX2NB
C5orf42	C5orf42
C5orf42	FLJ13231
C5orf42	JBTS17
C5orf45	C5orf45
C5orf45	DKFZp686L2452
C5orf45	LOC51149
C5orf45	MGC65027
C5orf45	MGC78537
C5orf46	C5orf46
C5orf46	MGC23985
C5orf46	SSSP1
C5orf47	C5orf47
C5orf47	LOC133491
C5orf48	C5orf48
C5orf48	FLJ27505
C5orf48	MGC163367
C5orf48	MGC163369
C5orf49	C5orf49
C5orf49	LOC134121
C5orf51	C5orf51
C5orf51	LOC285636
C5orf52	C5orf52
C5orf54	Buster3
C5orf54	C5orf54
C5orf55	C5orf55
C5orf56	C5orf56
C5orf58	C5orf58
C5orf60	C5orf60
C5orf63	C5orf63
C5orf63	FLJ44606
C5orf63	YDR286C
C5orf64	C5orf64
C5orf64	FLJ37543
C5orf66	C5orf66
C5orf66-AS1	C5orf66-AS1
C5orf66-AS2	C5orf66-AS2
C5orf9~withdrawn	C5orf9~withdrawn
C6	C6
C6	PSMA7
C6.1A	BRCC3
C6ST	CHST1
C6ST	CHST2
C6ST	CHST3
C6ST-2	CHST7
C6ST1	CHST3
C6ST2	CHST7
C6UAS	TRAF3IP2-AS1
C6orf1	C6orf1
C6orf1	LBH
C6orf1	MGC57858
C6orf10	C6orf10
C6orf10	TSBP
C6orf100	C6orf100
C6orf100	dJ25J6.5
C6orf102~withdrawn	C6orf102~withdrawn
C6orf106	C6orf106
C6orf106	FLJ22195
C6orf106	dJ391O22.4
C6orf114~withdrawn	C6orf114~withdrawn
C6orf118	C6orf118
C6orf118	MGC23884
C6orf118	bA85G2.1
C6orf120	C6orf120
C6orf120	bA160E12.4
C6orf123	C6orf123
C6orf123	HGC6.2
C6orf123	dJ431P23.4
C6orf13	TRIM31
C6orf131~withdrawn	C6orf131~withdrawn
C6orf132	C6orf132
C6orf132	bA7K24.2
C6orf136	C6orf136
C6orf136	Em:AB023049.8
C6orf13~withdrawn	C6orf13~withdrawn
C6orf14	MRPS18B
C6orf141	C6orf141
C6orf141	MGC46457
C6orf144~withdrawn	C6orf144~withdrawn
C6orf147	C6orf147
C6orf147	Em:AC019205.8
C6orf14~withdrawn	C6orf14~withdrawn
C6orf15	C6orf15
C6orf15	STG
C6orf152~withdrawn	C6orf152~withdrawn
C6orf163	C6orf163
C6orf164	C6orf164
C6orf164	dJ102H19.4
C6orf165	C6orf165
C6orf165	FLJ25974
C6orf165	dJ382I10.1
C6orf16~withdrawn	C6orf16~withdrawn
C6orf171~withdrawn	C6orf171~withdrawn
C6orf178~withdrawn	C6orf178~withdrawn
C6orf179~withdrawn	C6orf179~withdrawn
C6orf17~withdrawn	C6orf17~withdrawn
C6orf180~withdrawn	C6orf180~withdrawn
C6orf183	C6orf183
C6orf183	bA487F23.3
C6orf184~withdrawn	C6orf184~withdrawn
C6orf187~withdrawn	C6orf187~withdrawn
C6orf193~withdrawn	C6orf193~withdrawn
C6orf195	C6orf195
C6orf195	FLJ31934
C6orf195	bA145H9.2
C6orf200~withdrawn	C6orf200~withdrawn
C6orf201	C6orf201
C6orf201	dJ1013A10.5
C6orf202~withdrawn	C6orf202~withdrawn
C6orf203	C6orf203
C6orf203	HSPC230
C6orf203	PRED31
C6orf207~withdrawn	C6orf207~withdrawn
C6orf211	C6orf211
C6orf211	FLJ12910
C6orf212L	CLVS1
C6orf212~withdrawn	C6orf212~withdrawn
C6orf215~withdrawn	C6orf215~withdrawn
C6orf222	C6orf222
C6orf222	DKFZp779B1540
C6orf223	C6orf223
C6orf223	MGC45491
C6orf224~withdrawn	C6orf224~withdrawn
C6orf226	C6orf226
C6orf226	LOC441150
C6orf229	C6orf229
C6orf25	C6orf25
C6orf25	G6b
C6orf25	NG31
C6orf2~withdrawn	C6orf2~withdrawn
C6orf30~withdrawn	C6orf30~withdrawn
C6orf36~withdrawn	C6orf36~withdrawn
C6orf39	LINC00533
C6orf42~withdrawn	C6orf42~withdrawn
C6orf43~withdrawn	C6orf43~withdrawn
C6orf44~withdrawn	C6orf44~withdrawn
C6orf47	C6orf47
C6orf47	D6S53E
C6orf47	G4
C6orf47-AS1	C6orf47-AS1
C6orf48	C6orf48
C6orf48	D6S57
C6orf48	G8
C6orf50~withdrawn	C6orf50~withdrawn
C6orf52	C6orf52
C6orf57	C6orf57
C6orf58	C6orf58
C6orf5~withdrawn	C6orf5~withdrawn
C6orf61~withdrawn	C6orf61~withdrawn
C6orf62	C6orf62
C6orf62	DKFZP564G182
C6orf62	FLJ12619
C6orf62	XTP12
C6orf6~withdrawn	C6orf6~withdrawn
C6orf7	C6orf7
C6orf73	TMEM14A
C6orf89	BRAP
C6orf89	C6orf89
C6orf89	FLJ25357
C6orf91~withdrawn	C6orf91~withdrawn
C6orf92~withdrawn	C6orf92~withdrawn
C6orf98~withdrawn	C6orf98~withdrawn
C6orf99	C6orf99
C6orf99	yR211F11.1
C7	C7
C7	CXCL10
C77032	GNL3
C7orf12	CASD1
C7orf13	C7orf13
C7orf13	MY040
C7orf15	PVRIG
C7orf18	NAPEPLD
C7orf1~withdrawn	C7orf1~withdrawn
C7orf22~withdrawn	C7orf22~withdrawn
C7orf25	C7orf25
C7orf25	MGC2821
C7orf26	C7orf26
C7orf26	MGC2718
C7orf31	C7orf31
C7orf33	C7orf33
C7orf34	C7orf34
C7orf34	CTM-1
C7orf43	C7orf43
C7orf43	FLJ10925
C7orf49	C7orf49
C7orf49	FLJ22450
C7orf49	FLJ27285
C7orf49	MGC5242
C7orf49	MRI
C7orf50	C7orf50
C7orf50	MGC11257
C7orf50	YCR016W
C7orf55	C7orf55
C7orf55	FMC1
C7orf55	HSPC268
C7orf55-LUC7L2	C7orf55-LUC7L2
C7orf57	C7orf57
C7orf60	C7orf60
C7orf60	DKFZp762M126
C7orf60	FLJ31818
